sensor,phase,event,seq,active,reactive,current,voltage,frequency,hr0,hr1,hr2,hr3,hr4,hr5,hr6,hr7,hr8,tr0,tr1,tr2,tr3,tr4,tr5,tr6,tr7,tr8,tr9,draw,power,thd,shift,capture,lag
997.0,2,5.0,88554.0,2.3,0.0,0.01,240.4,50.01,96.8,190.6,154.1,47.0,196.5,162.7,87.0,224.5,268.1,-86.3,-97.9,-100.0,-77.9,-43.2,-4.2,32.6,63.2,100.0,-92.6,4535497.9,320.0,30.0,-26.1,969.0,16i 1731992141004568285 
997.0,0,5.0,88555.0,0.8,-1.5,0.007,236.8,49.99,100.0,273.9,682.5,449.1,275.6,308.1,220.3,488.3,655.7,3.3,-35.9,-69.3,-90.8,-100.0,-86.9,-64.7,-41.2,-11.8,100.0,12391719.6,293.8,58.4,58.1,968.0,16i 1731992321009020160 
997.0,1,5.0,88556.0,0.0,1.5,0.006,237.4,50.0,100.0,148.6,163.4,147.7,96.8,223.3,483.6,462.0,504.9,68.2,-2.7,-60.8,-89.2,-100.0,-87.2,-62.8,-49.3,-50.0,-50.0,1068743.5,398.5,32.2,20.9,968.0,16i 1731992321009020160 
997.0,2,5.0,88557.0,0.0,2.3,0.01,240.5,50.01,54.4,30.7,105.9,91.6,56.8,180.6,212.4,92.9,112.6,11.7,-32.0,-72.6,-96.0,-100.0,-84.1,-56.3,-18.8,25.8,100.0,4535513.9,320.0,29.5,-25.8,968.0,16i 1731992321009020160 
997.0,0,5.0,88558.0,3.8,-1.5,0.015,236.5,50.049,78.9,83.5,165.2,174.5,243.0,35.3,117.7,110.2,83.1,30.4,-37.2,-85.0,-100.0,-98.0,-76.1,-46.8,-1.0,47.4,83.6,12391734.2,290.0,58.3,58.3,966.0,16i 1731992501009540993 
997.0,1,5.0,88559.0,0.8,0.8,0.006,237.2,50.049,48.0,83.4,59.2,213.9,44.5,263.5,297.0,240.2,312.5,-84.2,-98.2,-100.0,-89.5,-70.2,-52.2,-29.7,4.1,36.2,61.7,1068763.5,399.2,32.9,20.8,966.0,16i 1731992501009540993 
997.0,2,5.0,88560.0,3.1,-0.0,0.011,240.2,50.059,100.0,141.4,331.7,177.0,128.3,514.1,201.6,45.6,449.6,8.5,-1.7000000000000002,28.8,45.8,52.5,15.3,5.1,62.7,96.6,100.0,4535529.9,316.9,30.7,-26.0,966.0,16i 1731992501009540993 
997.0,0,5.0,89856.0,2.3,0.8,0.009000000000000001,235.7,50.01,33.0,16.8,72.4,125.3,88.5,47.8,112.4,73.1,50.3,-73.6,-70.3,-72.5,-84.6,-98.9,-100.0,-90.1,-74.7,-54.9,-27.5,12397941.8,287.7,53.5,58.6,966.0,17i 1732070453004795819 
997.0,1,5.0,89857.0,1.5,-0.8,0.009000000000000001,236.5,50.02,55.5,75.2,181.7,22.7,116.5,263.5,154.2,62.4,219.3,93.5,100.0,94.5,76.1,45.6,15.2,-17.2,-47.6,-69.1,-87.0,1077465.4,396.9,32.7,21.3,966.0,17i 1732070453004795819 
997.0,2,5.0,89858.0,1.5,-0.0,0.005,239.4,50.02,53.0,64.9,104.9,67.9,47.9,137.7,34.6,64.8,43.9,-74.0,-68.5,-68.0,-71.3,-59.1,-22.1,17.7,45.9,63.5,76.2,4542314.7,314.6,32.2,-26.4,966.0,17i 1732070453004795819 
