2025-01-13T06:49:56.461616,0.0,3.0,-0.8,1.2,49.98,53.7,238.1,False
2025-01-13T06:49:56.653286,1.0,0.8,-0.8,0.5,49.98,28.3,240.3,False
2025-01-13T06:49:56.810802,2.0,0.8,-2.3,0.9,49.98,26.8,241.9,False
2025-01-13T06:52:56.469164,0.0,3.8,0.8,1.6,49.98,53.5,238.1,False
2025-01-13T06:52:56.633628,1.0,0.0,0.8,0.2,49.98,28.9,240.2,False
2025-01-13T06:52:56.748961,2.0,0.8,-2.3,1.1,49.98,26.6,241.8,False
2025-01-13T06:55:44.471275,0.0,3.8,-3.8,2.3,49.98,54.4,238.1,False
2025-01-13T06:55:44.600004,1.0,2.3,1.5,1.1,49.98,26.9,240.2,False
2025-01-13T06:55:44.730430,2.0,0.8,-1.5,0.8,49.99,26.5,242.0,False
2025-01-13T06:58:44.478984,0.0,10.6,-2.3,4.2,49.99,54.9,238.5,False
2025-01-13T06:58:44.612550,1.0,0.0,-3.0,0.8,49.98,26.8,240.7,False
2025-01-13T06:58:44.743840,2.0,1.5,-3.0,1.0,49.99,26.3,242.4,False
2025-01-13T07:01:44.482065,0.0,6.8,1.5,2.9,50.01,53.3,238.4,False
2025-01-13T07:01:44.624681,1.0,1.5,-4.5,1.8,50.01,27.9,240.5,False
2025-01-13T07:01:44.764417,2.0,4.5,-0.0,1.8,50.01,25.2,242.1,False
2025-01-13T07:04:44.484597,0.0,0.0,0.0,0.1,50.02,53.5,238.3,False
2025-01-13T07:04:44.615252,1.0,1.5,-0.8,0.7,50.01,28.0,240.4,False
2025-01-13T07:04:44.752745,2.0,0.0,0.0,0.0,50.02,25.8,242.1,False
2025-01-13T07:07:44.522955,1.0,0.0,-0.8,0.6,49.99,27.5,240.1,False
2025-01-13T07:07:44.638161,2.0,2.3,0.8,1.0,49.99,26.1,241.8,False
2025-01-13T07:10:44.485280,0.0,1.5,3.8,1.9,49.96,51.8,237.9,False
2025-01-13T07:10:44.613692,1.0,3.8,1.5,1.7,49.97,28.7,240.0,False
2025-01-13T07:10:44.731796,2.0,4.5,-4.5,2.4,49.96,26.2,241.5,False
2025-01-13T07:13:44.486314,0.0,5.3,0.8,2.1,49.96,52.3,238.5,False
2025-01-13T07:13:44.607085,1.0,3.8,-0.8,1.8,49.97,27.5,240.5,False
2025-01-13T07:13:44.733062,2.0,0.8,-6.1,2.0,49.97,24.8,242.1,False
2025-01-13T07:16:44.488143,0.0,5.3,-4.5,3.0,49.97,52.3,238.3,False
2025-01-13T07:16:44.615140,1.0,3.8,-1.5,1.8,49.97,29.2,240.3,False
2025-01-13T07:16:44.756291,2.0,0.8,-4.5,1.7,49.97,25.9,241.9,False
2025-01-13T07:19:44.490941,0.0,0.8,-4.5,1.6,49.97,53.1,237.9,False
2025-01-13T07:19:44.633616,1.0,1.5,-0.8,0.6,49.98,28.3,239.9,False
2025-01-13T07:19:44.772669,2.0,2.3,0.8,1.0,49.98,26.8,241.5,False
2025-01-13T07:22:44.489737,0.0,2.3,-2.3,1.3,50.0,52.8,238.3,False
2025-01-13T07:22:44.586483,1.0,0.0,-2.3,0.4,50.0,27.8,240.4,False
2025-01-13T07:22:44.692958,2.0,3.0,-2.3,1.4,49.99,25.5,242.0,False
2025-01-13T07:25:44.490839,0.0,0.8,1.5,0.8,49.97,53.4,238.4,False
2025-01-13T07:25:44.595037,1.0,0.8,-1.5,0.7,49.99,28.4,240.4,False
2025-01-13T07:25:44.720541,2.0,3.0,0.0,1.2,49.98,26.2,242.2,False
